Time(h)/Currency(c);Description
3,33.73;Price after 0 day in Archnemesis:
27,56.37;Price after 1 day in Archnemesis:
51,65.53;Price after 2 days in Archnemesis:
75,73.5;Price after 3 days in Archnemesis:
99,77.8;Price after 4 days in Archnemesis:
123,81.33;Price after 5 days in Archnemesis:
147,85;Price after 6 days in Archnemesis:
171,88.87;Price after 7 days in Archnemesis:
195,91.77;Price after 8 days in Archnemesis:
219,94.16;Price after 9 days in Archnemesis:
243,96.4;Price after 10 days in Archnemesis:
267,99.03;Price after 11 days in Archnemesis:
291,106.86;Price after 12 days in Archnemesis:
315,110.78;Price after 13 days in Archnemesis:
339,114.29;Price after 14 days in Archnemesis:
363,116.76;Price after 15 days in Archnemesis:
387,119.42;Price after 16 days in Archnemesis:
411,121.72;Price after 17 days in Archnemesis:
435,123.33;Price after 18 days in Archnemesis:
459,124.26;Price after 19 days in Archnemesis:
483,125.3;Price after 20 days in Archnemesis:
507,126.33;Price after 21 days in Archnemesis:
531,127.18;Price after 22 days in Archnemesis:
555,127.33;Price after 23 days in Archnemesis:
579,127.52;Price after 24 days in Archnemesis:
603,128.01;Price after 25 days in Archnemesis:
627,128.7;Price after 26 days in Archnemesis:
651,129.41;Price after 27 days in Archnemesis:
675,130.24;Price after 28 days in Archnemesis:
699,131.37;Price after 29 days in Archnemesis:
723,132.82;Price after 30 days in Archnemesis:
747,134.32;Price after 31 days in Archnemesis:
771,135.93;Price after 32 days in Archnemesis:
795,137.59;Price after 33 days in Archnemesis:
819,139.29;Price after 34 days in Archnemesis:
843,140.98;Price after 35 days in Archnemesis:
867,142.81;Price after 36 days in Archnemesis:
891,144.54;Price after 37 days in Archnemesis:
915,146.17;Price after 38 days in Archnemesis:
939,147.75;Price after 39 days in Archnemesis:
963,149.41;Price after 40 days in Archnemesis:
987,151.08;Price after 41 days in Archnemesis:
1011,152.68;Price after 42 days in Archnemesis:
1035,154.33;Price after 43 days in Archnemesis:
1059,155.93;Price after 44 days in Archnemesis:
1083,157.59;Price after 45 days in Archnemesis:
1107,159.36;Price after 46 days in Archnemesis:
1131,161.25;Price after 47 days in Archnemesis:
1155,163.09;Price after 48 days in Archnemesis:
1179,164.95;Price after 49 days in Archnemesis:
1203,166.72;Price after 50 days in Archnemesis:
1227,168.43;Price after 51 days in Archnemesis:
1251,169.85;Price after 52 days in Archnemesis:
1275,171.01;Price after 53 days in Archnemesis:
1299,171.93;Price after 54 days in Archnemesis:
1323,172.69;Price after 55 days in Archnemesis:
1347,173.36;Price after 56 days in Archnemesis:
1371,173.87;Price after 57 days in Archnemesis:
1395,174.15;Price after 58 days in Archnemesis:
1419,174.25;Price after 59 days in Archnemesis:
1443,174.23;Price after 60 days in Archnemesis:
1467,174.13;Price after 61 days in Archnemesis:
1491,174.05;Price after 62 days in Archnemesis:
1515,173.88;Price after 63 days in Archnemesis:
1539,173.88;Price after 64 days in Archnemesis:
1563,173.86;Price after 65 days in Archnemesis:
1587,173.78;Price after 66 days in Archnemesis:
1611,173.69;Price after 67 days in Archnemesis:
1635,173.61;Price after 68 days in Archnemesis:
1659,173.53;Price after 69 days in Archnemesis:
1683,173.34;Price after 70 days in Archnemesis:
1707,173;Price after 71 days in Archnemesis:
1731,172.27;Price after 72 days in Archnemesis:
1755,171.23;Price after 73 days in Archnemesis:
1779,169.7;Price after 74 days in Archnemesis:
1803,168.19;Price after 75 days in Archnemesis:
1827,166.21;Price after 76 days in Archnemesis:
1851,164.23;Price after 77 days in Archnemesis:
1875,162.22;Price after 78 days in Archnemesis:
1899,159.91;Price after 79 days in Archnemesis:
1923,157.56;Price after 80 days in Archnemesis:
1947,155.12;Price after 81 days in Archnemesis:
1971,152.89;Price after 82 days in Archnemesis:
1995,150.8;Price after 83 days in Archnemesis:
2019,149.12;Price after 84 days in Archnemesis:
2043,147.76;Price after 85 days in Archnemesis:
2067,146.81;Price after 86 days in Archnemesis:
2091,145.9;Price after 87 days in Archnemesis:
2115,145.27;Price after 88 days in Archnemesis:
2139,144.61;Price after 89 days in Archnemesis:
2163,144;Price after 90 days in Archnemesis:
2187,143.59;Price after 91 days in Archnemesis:
2211,143.44;Price after 92 days in Archnemesis:
2235,143.12;Price after 93 days in Archnemesis:
2259,142.3;Price after 94 days in Archnemesis:
2283,141.47;Price after 95 days in Archnemesis:
123,64;Price after 5 days in Essence:
147,64.26;Price after 6 days in Essence:
171,64.51;Price after 7 days in Essence:
195,64.64;Price after 8 days in Essence:
219,64.91;Price after 9 days in Essence:
243,65.1;Price after 10 days in Essence:
267,65.67;Price after 11 days in Essence:
291,66.19;Price after 12 days in Essence:
315,66.44;Price after 13 days in Essence:
339,66.48;Price after 14 days in Essence:
363,66.43;Price after 15 days in Essence:
387,66.4;Price after 16 days in Essence:
411,66.49;Price after 17 days in Essence:
435,66.5;Price after 18 days in Essence:
459,66.48;Price after 19 days in Essence:
483,66.47;Price after 20 days in Essence:
507,66.3;Price after 21 days in Essence:
531,66.13;Price after 22 days in Essence:
555,65.7;Price after 23 days in Essence:
579,65.14;Price after 24 days in Essence:
603,64.75;Price after 25 days in Essence:
627,64.52;Price after 26 days in Essence:
651,64.35;Price after 27 days in Essence:
675,64.19;Price after 28 days in Essence:
699,64.09;Price after 29 days in Essence:
723,64.03;Price after 30 days in Essence:
747,63.97;Price after 31 days in Essence:
771,63.89;Price after 32 days in Essence:
795,63.95;Price after 33 days in Essence:
819,63.96;Price after 34 days in Essence:
843,64.04;Price after 35 days in Essence:
867,64.2;Price after 36 days in Essence:
891,64.29;Price after 37 days in Essence:
915,64.38;Price after 38 days in Essence:
939,64.51;Price after 39 days in Essence:
963,64.71;Price after 40 days in Essence:
987,64.96;Price after 41 days in Essence:
1011,65.22;Price after 42 days in Essence:
1035,65.51;Price after 43 days in Essence:
1059,65.9;Price after 44 days in Essence:
1083,66.36;Price after 45 days in Essence:
1107,66.93;Price after 46 days in Essence:
1131,67.45;Price after 47 days in Essence:
1155,67.95;Price after 48 days in Essence:
1179,68.53;Price after 49 days in Essence:
1203,69.07;Price after 50 days in Essence:
1227,69.6;Price after 51 days in Essence:
1251,70.07;Price after 52 days in Essence:
1275,70.48;Price after 53 days in Essence:
1299,70.9;Price after 54 days in Essence:
1323,71.28;Price after 55 days in Essence:
1347,71.64;Price after 56 days in Essence:
1371,71.84;Price after 57 days in Essence:
1395,72.01;Price after 58 days in Essence:
1419,72.21;Price after 59 days in Essence:
1443,72.4;Price after 60 days in Essence:
1467,72.56;Price after 61 days in Essence:
1491,72.76;Price after 62 days in Essence:
1515,72.88;Price after 63 days in Essence:
1539,72.98;Price after 64 days in Essence:
1563,73.06;Price after 65 days in Essence:
1587,73.07;Price after 66 days in Essence:
1611,73.06;Price after 67 days in Essence:
1635,72.96;Price after 68 days in Essence:
1659,72.79;Price after 69 days in Essence:
1683,72.52;Price after 70 days in Essence:
1707,72.12;Price after 71 days in Essence:
1731,71.66;Price after 72 days in Essence:
1755,71.24;Price after 73 days in Essence:
1779,70.84;Price after 74 days in Essence:
1803,70.46;Price after 75 days in Essence:
1827,70.05;Price after 76 days in Essence:
1851,69.56;Price after 77 days in Essence:
1875,69.08;Price after 78 days in Essence:
1899,68.52;Price after 79 days in Essence:
1923,67.95;Price after 80 days in Essence:
1947,67.49;Price after 81 days in Essence:
1971,67;Price after 82 days in Essence:
1995,66.56;Price after 83 days in Essence:
2019,66.23;Price after 84 days in Essence:
2043,65.91;Price after 85 days in Essence:
2067,65.77;Price after 86 days in Essence:
339,20;Price after 14 days in Essence HC:
363,20;Price after 15 days in Essence HC:
387,19.85;Price after 16 days in Essence HC:
411,19.67;Price after 17 days in Essence HC:
435,19.54;Price after 18 days in Essence HC:
459,19.44;Price after 19 days in Essence HC:
483,19.37;Price after 20 days in Essence HC:
507,19.33;Price after 21 days in Essence HC:
531,19.27;Price after 22 days in Essence HC:
555,19.25;Price after 23 days in Essence HC:
579,19.24;Price after 24 days in Essence HC:
603,19.3;Price after 25 days in Essence HC:
627,19.37;Price after 26 days in Essence HC:
651,19.98;Price after 27 days in Essence HC:
675,20.61;Price after 28 days in Essence HC:
699,21.13;Price after 29 days in Essence HC:
723,21.63;Price after 30 days in Essence HC:
747,22.19;Price after 31 days in Essence HC:
771,22.83;Price after 32 days in Essence HC:
795,23.52;Price after 33 days in Essence HC:
819,24.28;Price after 34 days in Essence HC:
843,25.02;Price after 35 days in Essence HC:
867,25.77;Price after 36 days in Essence HC:
891,26.44;Price after 37 days in Essence HC:
915,27.03;Price after 38 days in Essence HC:
939,27.09;Price after 39 days in Essence HC:
963,27.17;Price after 40 days in Essence HC:
987,27.4;Price after 41 days in Essence HC:
1011,27.66;Price after 42 days in Essence HC:
1035,27.85;Price after 43 days in Essence HC:
1059,28;Price after 44 days in Essence HC:
1083,28.09;Price after 45 days in Essence HC:
1107,28.1;Price after 46 days in Essence HC:
1131,28.13;Price after 47 days in Essence HC:
1155,28.2;Price after 48 days in Essence HC:
1179,28.29;Price after 49 days in Essence HC:
1203,28.37;Price after 50 days in Essence HC:
1227,28.46;Price after 51 days in Essence HC:
1251,28.55;Price after 52 days in Essence HC:
1275,28.63;Price after 53 days in Essence HC:
1299,28.8;Price after 54 days in Essence HC:
1323,29.07;Price after 55 days in Essence HC:
1347,29.37;Price after 56 days in Essence HC:
1371,29.67;Price after 57 days in Essence HC:
1395,30.05;Price after 58 days in Essence HC:
1419,30.62;Price after 59 days in Essence HC:
1443,31.44;Price after 60 days in Essence HC:
1467,32.58;Price after 61 days in Essence HC:
1491,33.73;Price after 62 days in Essence HC:
1515,34.89;Price after 63 days in Essence HC:
1539,35.89;Price after 64 days in Essence HC:
1563,36.8;Price after 65 days in Essence HC:
1587,37.64;Price after 66 days in Essence HC:
1611,38.42;Price after 67 days in Essence HC:
1635,39.16;Price after 68 days in Essence HC:
1659,39.92;Price after 69 days in Essence HC:
1683,40.58;Price after 70 days in Essence HC:
1707,41.3;Price after 71 days in Essence HC:
1731,41.68;Price after 72 days in Essence HC:
1755,41.86;Price after 73 days in Essence HC:
1779,42.02;Price after 74 days in Essence HC:
1803,42.11;Price after 75 days in Essence HC:
1827,42.71;Price after 76 days in Essence HC:
1851,43.48;Price after 77 days in Essence HC:
1875,44.45;Price after 78 days in Essence HC:
1899,45.37;Price after 79 days in Essence HC:
1923,46.29;Price after 80 days in Essence HC:
1947,47.21;Price after 81 days in Essence HC:
1971,48.2;Price after 82 days in Essence HC:
1995,48.91;Price after 83 days in Essence HC:
2019,49.61;Price after 84 days in Essence HC:
2043,50.28;Price after 85 days in Essence HC:
2067,51.05;Price after 86 days in Essence HC:
21,86.5;Price after 0 day in Breach:
3,63.25;Price after 0 day in Breach:
27,57.05;Price after 1 day in Breach:
51,55.89;Price after 2 days in Breach:
75,55.82;Price after 3 days in Breach:
99,56.15;Price after 4 days in Breach:
123,56.69;Price after 5 days in Breach:
147,57.37;Price after 6 days in Breach:
171,58.2;Price after 7 days in Breach:
195,58.95;Price after 8 days in Breach:
219,59.71;Price after 9 days in Breach:
243,60.49;Price after 10 days in Breach:
267,59.21;Price after 11 days in Breach:
291,61.83;Price after 12 days in Breach:
315,64.07;Price after 13 days in Breach:
339,65.63;Price after 14 days in Breach:
363,66.9;Price after 15 days in Breach:
387,67.93;Price after 16 days in Breach:
411,68.77;Price after 17 days in Breach:
435,69.44;Price after 18 days in Breach:
459,69.93;Price after 19 days in Breach:
483,70.29;Price after 20 days in Breach:
507,70.54;Price after 21 days in Breach:
531,70.67;Price after 22 days in Breach:
555,70.65;Price after 23 days in Breach:
579,70.59;Price after 24 days in Breach:
603,70.49;Price after 25 days in Breach:
627,70.42;Price after 26 days in Breach:
651,70.37;Price after 27 days in Breach:
675,70.33;Price after 28 days in Breach:
699,70.25;Price after 29 days in Breach:
723,70.15;Price after 30 days in Breach:
747,69.93;Price after 31 days in Breach:
771,69.68;Price after 32 days in Breach:
795,69.29;Price after 33 days in Breach:
819,68.64;Price after 34 days in Breach:
843,67.78;Price after 35 days in Breach:
867,66.63;Price after 36 days in Breach:
891,65.14;Price after 37 days in Breach:
915,63.74;Price after 38 days in Breach:
939,62.88;Price after 39 days in Breach:
963,61.83;Price after 40 days in Breach:
987,60.66;Price after 41 days in Breach:
1011,59.39;Price after 42 days in Breach:
1035,58.06;Price after 43 days in Breach:
1059,56.78;Price after 44 days in Breach:
1083,55.56;Price after 45 days in Breach:
1107,54.5;Price after 46 days in Breach:
1131,53.61;Price after 47 days in Breach:
1155,52.95;Price after 48 days in Breach:
1179,52.46;Price after 49 days in Breach:
1203,51.65;Price after 50 days in Breach:
1227,50.23;Price after 51 days in Breach:
1251,48.96;Price after 52 days in Breach:
1275,47.89;Price after 53 days in Breach:
1299,47;Price after 54 days in Breach:
1323,46.57;Price after 55 days in Breach:
1347,46.32;Price after 56 days in Breach:
1371,45.97;Price after 57 days in Breach:
1395,45.69;Price after 58 days in Breach:
1419,45.46;Price after 59 days in Breach:
1443,45.4;Price after 60 days in Breach:
1467,45.62;Price after 61 days in Breach:
1491,46.2;Price after 62 days in Breach:
1515,46.94;Price after 63 days in Breach:
1539,47.89;Price after 64 days in Breach:
1563,49.03;Price after 65 days in Breach:
1587,50.29;Price after 66 days in Breach:
1611,51.67;Price after 67 days in Breach:
1635,53.13;Price after 68 days in Breach:
1659,54.99;Price after 69 days in Breach:
1683,56.77;Price after 70 days in Breach:
1707,58.52;Price after 71 days in Breach:
1731,60.27;Price after 72 days in Breach:
1755,61.99;Price after 73 days in Breach:
