Hour;Price;Day;League;League Type;League Length;Week
3;33.73;0;Archnemesis;Standard;Long;1
27;56.37;1;Archnemesis;Standard;Long;1
51;65.53;2;Archnemesis;Standard;Long;1
75;73.5;3;Archnemesis;Standard;Long;1
99;77.8;4;Archnemesis;Standard;Long;1
123;81.33;5;Archnemesis;Standard;Long;1
147;85.0;6;Archnemesis;Standard;Long;2
171;88.87;7;Archnemesis;Standard;Long;2
195;91.77;8;Archnemesis;Standard;Long;2
219;94.16;9;Archnemesis;Standard;Long;2
243;96.4;10;Archnemesis;Standard;Long;2
267;99.03;11;Archnemesis;Standard;Long;2
291;106.86;12;Archnemesis;Standard;Long;3
315;110.78;13;Archnemesis;Standard;Long;3
339;114.29;14;Archnemesis;Standard;Long;3
363;116.76;15;Archnemesis;Standard;Long;3
387;119.42;16;Archnemesis;Standard;Long;3
411;121.72;17;Archnemesis;Standard;Long;3
435;123.33;18;Archnemesis;Standard;Long;4
459;124.26;19;Archnemesis;Standard;Long;4
483;125.3;20;Archnemesis;Standard;Long;4
507;126.33;21;Archnemesis;Standard;Long;4
531;127.18;22;Archnemesis;Standard;Long;4
555;127.33;23;Archnemesis;Standard;Long;4
579;127.52;24;Archnemesis;Standard;Long;5
603;128.01;25;Archnemesis;Standard;Long;5
627;128.7;26;Archnemesis;Standard;Long;5
651;129.41;27;Archnemesis;Standard;Long;5
675;130.24;28;Archnemesis;Standard;Long;5
699;131.37;29;Archnemesis;Standard;Long;5
723;132.82;30;Archnemesis;Standard;Long;6
747;134.32;31;Archnemesis;Standard;Long;6
771;135.93;32;Archnemesis;Standard;Long;6
795;137.59;33;Archnemesis;Standard;Long;6
819;139.29;34;Archnemesis;Standard;Long;6
843;140.98;35;Archnemesis;Standard;Long;6
867;142.81;36;Archnemesis;Standard;Long;7
891;144.54;37;Archnemesis;Standard;Long;7
915;146.17;38;Archnemesis;Standard;Long;7
939;147.75;39;Archnemesis;Standard;Long;7
963;149.41;40;Archnemesis;Standard;Long;7
987;151.08;41;Archnemesis;Standard;Long;7
1011;152.68;42;Archnemesis;Standard;Long;8
1035;154.33;43;Archnemesis;Standard;Long;8
1059;155.93;44;Archnemesis;Standard;Long;8
1083;157.59;45;Archnemesis;Standard;Long;8
1107;159.36;46;Archnemesis;Standard;Long;8
1131;161.25;47;Archnemesis;Standard;Long;8
1155;163.09;48;Archnemesis;Standard;Long;9
1179;164.95;49;Archnemesis;Standard;Long;9
1203;166.72;50;Archnemesis;Standard;Long;9
1227;168.43;51;Archnemesis;Standard;Long;9
1251;169.85;52;Archnemesis;Standard;Long;9
1275;171.01;53;Archnemesis;Standard;Long;9
1299;171.93;54;Archnemesis;Standard;Long;10
1323;172.69;55;Archnemesis;Standard;Long;10
1347;173.36;56;Archnemesis;Standard;Long;10
1371;173.87;57;Archnemesis;Standard;Long;10
1395;174.15;58;Archnemesis;Standard;Long;10
1419;174.25;59;Archnemesis;Standard;Long;10
1443;174.23;60;Archnemesis;Standard;Long;11
1467;174.13;61;Archnemesis;Standard;Long;11
1491;174.05;62;Archnemesis;Standard;Long;11
1515;173.88;63;Archnemesis;Standard;Long;11
1539;173.88;64;Archnemesis;Standard;Long;11
1563;173.86;65;Archnemesis;Standard;Long;11
1587;173.78;66;Archnemesis;Standard;Long;12
1611;173.69;67;Archnemesis;Standard;Long;12
1635;173.61;68;Archnemesis;Standard;Long;12
1659;173.53;69;Archnemesis;Standard;Long;12
